,osm_id,Parent Category,Category,City,name,lat,lon
11615,3627434279,Administration,Embassy,Camayenne,Ambassade de la République Fédérale d'Allemagne,9.5122736,-13.7160043
11751,4398777985,Administration,Embassy,Camayenne,Ambassade de Palestine,9.5118561,-13.7160678
12338,4527581930,Administration,Embassy,Camayenne,Ambassade d'Égypte,9.5284346,-13.6810847
12339,4527583871,Administration,Embassy,Camayenne,Ambassade d'Arabie Saoudite,9.539021,-13.6838882
14442,5550526591,Administration,Embassy,Camayenne,Ambassade du Mali,9.5341111,-13.6894158
14619,5739440972,Administration,Embassy,Camayenne,Ambassade de l'ordre souverain de Malte,9.5133014,-13.7140225
14621,5739446754,Administration,Embassy,Camayenne,Consulat honoraire d'Ukraine,9.5124511,-13.7148281
14876,5960834346,Administration,Embassy,Camayenne,Ambassade du Ghana,9.5332632,-13.68982
14961,5991401181,Administration,Embassy,Camayenne,Consulat honoraire de la Nouvelle Zélande,9.5158575,-13.6973051
14964,5991403362,Administration,Embassy,Camayenne,Ambassade du Sénégal,9.5066805,-13.7165924
14970,5991403810,Administration,Embassy,Camayenne,Consulat Honoraire général des Philippines,9.5073359,-13.7164433
16145,8495130072,Administration,Embassy,Camayenne,Ambassade du Brésil,9.523817,-13.6861252
16231,8604134450,Administration,Embassy,Camayenne,Ambassade du Royaume-Uni,9.5238526,-13.6859962
17028,94837424,Administration,Embassy,Camayenne,Ambassade du Nigéria,9.513749320227124,-13.71575699659244
17509,532274797,Administration,Embassy,Camayenne,Ambassade de France,9.51167305869326,-13.715206540239935
17605,549630555,Administration,Embassy,Camayenne,Ambassade de Côte d'Ivoire,9.50847371160914,-13.715405472659546
17877,1031140622,Administration,Embassy,Camayenne,Ambassade de l'Afrique du Sud,9.525086328257686,-13.6827050694644
12340,4527585516,Administration,Embassy,Conakry,Ambassade de Malaisie,9.5368715,-13.6694813
14039,4758395252,Administration,Embassy,Conakry,Ambassade de la Sierra Leone,9.5578135,-13.6674257
14107,4960204422,Administration,Embassy,Conakry,Ambassade de Russie,9.5532954,-13.6442989
14533,5648644857,Administration,Embassy,Conakry,Ambassade de la Guinée Bissau,9.5618326,-13.6637658
14754,5861167941,Administration,Embassy,Conakry,Ambassade du Liberia,9.5990441,-13.6548467
14879,5960834487,Administration,Embassy,Conakry,Ambassade de la Roumanie,9.5431385,-13.6811103
15303,6343662790,Administration,Embassy,Conakry,Ambassade de Guinée Équatoriale,9.6044445,-13.6489313
15352,6354811585,Administration,Embassy,Conakry,Ambassade de Sierra Leone,9.6070585,-13.6433967
15862,7114720531,Administration,Embassy,Conakry,Ambassade des Émirats arabes unis,9.583456,-13.6658013
16018,7902461318,Administration,Embassy,Conakry,Consulat Honoraire de Bénin,9.605387,-13.6482982
16618,10107171255,Administration,Embassy,Conakry,Consulat du Congo Brazzaville,9.6055048,-13.6361875
17027,94837396,Administration,Embassy,Conakry,Ambassade des États-Unis d'Amérique,9.595179839077534,-13.636302388758022
17579,541215656,Administration,Embassy,Conakry,Consulat de l'Inde,9.54005095,-13.66690135
17020,38713075,Administration,Public Building,Camayenne,Palais Présidentiel,9.510560213483592,-13.717499680018411
17276,4800840,Administration,Public Building,Camayenne,Palais du Peuple,9.519949062633826,-13.693082369443008
17032,183044251,Administration,Public Building,Kindia,Centre de jeunesse,10.048065107396093,-12.85976258318045
17042,183059951,Administration,Public Building,Kindia,Inspection d'education,10.046746306132691,-12.862338230474485
17787,9246903,Education,College,Boké,Institut Supérieur des Mines et Géologie de Boké,10.976641399796026,-14.270040339122504
11902,4515288151,Education,College,Buedu,Collège de Oweit Djiba,8.4849585,-10.4090085
14755,5861167952,Education,College,Camayenne,Centre de formation International IS Touré,9.5274834,-13.6879282
17618,550010901,Education,College,Camayenne,ENI,9.511403789361433,-13.703372467546192
17639,552715558,Education,College,Camayenne,ENAM,9.5249328586632,-13.685138862438167
11506,973425173,Education,College,Conakry,École Nationale des Postes et Télécommunications,9.6105549,-13.6469853
